name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age
Christian Wellisch,8,5,0,187.96,106.14,195.58,Orthodox,3.12,27.0,3.04,56.0,1.22,42.0,45.0,1.2,50.0
Erin Blanchfield,12,1,0,162.56,56.7,167.64,Orthodox,5.58,52.0,3.32,62.0,2.86,36.0,83.0,1.2,26.0
Luis Pena,9,3,0,190.5,70.31,190.5,Southpaw,3.66,46.0,3.12,51.0,1.17,33.0,48.0,1.2,32.0
JunYong Park,17,5,0,177.8,83.91,185.42,Orthodox,4.94,51.0,3.66,53.0,2.1,50.0,69.0,1.2,34.0
Allen Crowder,10,4,0,190.5,111.13,193.04,Orthodox,2.95,51.0,2.95,56.0,1.85,33.0,100.0,1.2,36.0
Matt Hughes,45,9,0,175.26,77.11,185.42,Switch,2.14,53.0,1.36,53.0,2.95,50.0,35.0,1.2,52.0
Mike Guymon,15,6,1,182.88,77.11,187.96,Orthodox,2.75,65.0,0.79,66.0,1.87,37.0,54.0,1.2,51.0
Dylan Lockard,6,2,0,175.26,65.77,182.88,Orthodox,1.31,53.0,3.31,52.0,2.31,40.0,28.0,1.2,33.0
Dan Christison,20,7,0,203.2,120.2,182.88,Orthodox,4.23,51.0,3.88,54.0,0.0,0.0,37.0,1.1,53.0
Darren Elkins,28,11,0,177.8,65.77,180.34,Orthodox,3.44,38.0,3.27,52.0,2.85,35.0,56.0,1.1,41.0
Alvaro Herrera Mendoza,9,6,0,182.88,70.31,187.96,Orthodox,1.89,38.0,3.4,55.0,0.0,0.0,33.0,1.1,35.0
Justin Jaynes,16,8,0,170.18,65.77,172.72,Orthodox,3.34,44.0,5.33,62.0,0.75,40.0,20.0,1.1,36.0
Steven Koslow,6,1,0,170.18,56.7,175.26,Switch,0.77,37.0,3.73,40.0,5.28,55.0,0.0,1.1,28.0
Jordan Leavitt,11,3,0,175.26,70.31,180.34,Southpaw,2.55,61.0,1.84,57.0,2.19,25.0,30.0,1.1,30.0
Rubens Xavier,5,3,0,190.5,99.79,182.88,Orthodox,0.77,42.0,1.82,21.0,2.1,40.0,25.0,1.1,44.0
Mike Santiago,19,12,0,177.8,65.77,175.26,Orthodox,3.44,49.0,3.58,36.0,2.66,50.0,53.0,1.1,36.0
James McSweeney,15,15,0,193.04,104.33,195.58,Switch,3.94,55.0,4.33,42.0,0.52,33.0,100.0,1.1,45.0
Dricus Du Plessis,20,2,0,185.42,83.91,193.04,Switch,6.95,55.0,3.79,53.0,2.72,50.0,40.0,1.1,31.0
Gabriel Gonzaga,17,11,0,187.96,109.77,193.04,Orthodox,2.12,45.0,2.94,57.0,2.8,39.0,66.0,1.1,46.0
John Maguire,24,9,0,175.26,70.31,175.26,Southpaw,1.41,41.0,2.44,65.0,2.8,46.0,77.0,1.1,42.0
Anthony Perosh,15,10,0,190.5,92.99,190.5,Orthodox,2.27,43.0,3.77,53.0,2.03,22.0,33.0,1.1,53.0
Dennis Bermudez,17,9,0,167.64,70.31,167.64,Orthodox,4.42,46.0,3.07,59.0,3.89,40.0,82.0,1.1,39.0
Cody Brundage,10,5,0,182.88,83.91,182.88,Orthodox,1.8,55.0,2.51,43.0,2.69,52.0,73.0,1.1,31.0
Rich Clementi,45,23,1,175.26,70.31,182.88,Southpaw,1.43,37.0,2.29,60.0,1.72,42.0,25.0,1.1,49.0
Gabriel Benitez,23,11,0,172.72,70.31,180.34,Southpaw,4.79,41.0,4.05,65.0,0.27,50.0,58.0,1.1,37.0
Daniel Straus,24,7,0,170.18,65.77,180.34,Unknown,4.76,43.0,2.99,57.0,0.84,15.0,81.0,1.1,36.0
Makwan Amirkhani,17,9,0,177.8,65.77,182.88,Southpaw,1.33,44.0,2.98,46.0,3.96,43.0,35.0,1.1,37.0
Georges St-Pierre,26,2,0,180.34,83.91,193.04,Orthodox,3.78,53.0,1.4,72.0,4.16,74.0,83.0,1.1,44.0
Goran Reljic,15,8,0,190.5,92.99,205.74,Southpaw,1.69,37.0,2.69,59.0,1.69,50.0,33.0,1.1,41.0
Pat Healy,34,23,0,182.88,70.31,182.88,Orthodox,2.57,36.0,2.57,50.0,3.08,37.0,55.0,1.1,42.0
Loopy Godinez,12,3,0,157.48,52.16,154.94,Orthodox,4.31,49.0,3.76,62.0,3.39,46.0,86.0,1.1,32.0
Youssef Zalal,10,5,1,177.8,61.23,182.88,Switch,2.75,48.0,1.75,64.0,2.14,31.0,60.0,1.1,29.0
John Moraga,19,7,0,167.64,56.7,167.64,Orthodox,2.57,43.0,2.55,56.0,0.62,23.0,44.0,1.1,41.0
Gesias Cavalcante,21,10,1,172.72,70.31,180.34,Orthodox,1.98,35.0,3.11,51.0,1.25,36.0,66.0,1.1,42.0
Julius Anglickas,5,1,0,190.5,92.99,182.88,Orthodox,4.62,78.0,1.86,50.0,4.47,50.0,60.0,1.1,34.0
Tom Breese,12,3,0,190.5,83.91,185.42,Southpaw,3.34,50.0,2.81,60.0,0.0,0.0,70.0,1.1,34.0
Makoto Takimoto,6,5,0,170.18,92.99,182.88,Southpaw,1.37,39.0,1.71,55.0,1.48,50.0,25.0,1.1,46.0
Nate Landwehr,17,5,0,175.26,65.77,182.88,Orthodox,6.14,46.0,5.58,55.0,1.07,41.0,86.0,1.1,37.0
Frank Shamrock,23,10,2,177.8,83.91,182.88,Orthodox,4.75,53.0,4.66,57.0,0.35,50.0,37.0,1.1,53.0
Gegard Mousasi,42,6,2,187.96,83.91,193.04,Orthodox,3.75,50.0,1.21,68.0,1.59,60.0,59.0,1.1,40.0
Semmy Schilt,26,14,1,208.28,120.2,182.88,Orthodox,1.2,50.0,1.31,53.0,0.0,0.0,47.0,1.1,52.0
Joe Ellenberger,15,2,0,175.26,70.31,182.88,Orthodox,1.62,47.0,3.45,48.0,3.17,40.0,0.0,1.1,40.0
Trenell Young,11,9,0,167.64,65.77,182.88,Orthodox,1.43,22.0,5.13,50.0,1.13,20.0,0.0,1.1,49.0
Bea Malecki,4,1,0,175.26,61.23,187.96,Orthodox,6.84,46.0,6.96,62.0,0.0,0.0,78.0,1.1,34.0
Louis Gaudinot,8,4,0,160.02,56.7,160.02,Orthodox,2.34,37.0,6.42,48.0,0.57,40.0,31.0,1.1,41.0
Ramsey Nijem,9,6,0,180.34,70.31,190.5,Orthodox,3.05,44.0,1.62,62.0,5.32,62.0,55.0,1.1,37.0
Claudio Silva,14,4,0,180.34,77.11,180.34,Southpaw,2.48,42.0,3.0,46.0,2.85,26.0,44.0,1.1,43.0
Marcos Galvao,18,8,1,170.18,61.23,182.88,Orthodox,1.97,32.0,3.86,61.0,2.27,28.0,88.0,1.1,44.0
Joey Villasenor,29,10,0,182.88,83.91,182.88,Orthodox,2.05,38.0,3.26,52.0,0.71,40.0,53.0,1.1,50.0
Taila Santos,19,3,0,167.64,56.7,172.72,Orthodox,3.39,48.0,2.64,58.0,2.0,76.0,86.0,1.1,32.0
Matt Schnell,16,7,0,172.72,56.7,177.8,Orthodox,4.24,39.0,4.46,55.0,0.63,44.0,46.0,1.1,35.0
Anthony Pettis,24,10,0,177.8,70.31,182.88,Orthodox,3.05,47.0,3.44,54.0,0.61,50.0,60.0,1.1,38.0
Darrill Schoonover,14,8,0,187.96,99.79,182.88,Orthodox,1.2,33.0,4.35,38.0,0.0,0.0,50.0,1.1,40.0
Jeff Hougland,10,6,0,170.18,61.23,172.72,Orthodox,1.86,48.0,3.46,47.0,0.86,18.0,0.0,1.1,47.0
Jeremy Horn,91,22,5,185.42,83.91,187.96,Orthodox,1.19,39.0,1.99,55.0,1.83,38.0,29.0,1.1,50.0
Thales Leites,28,9,0,185.42,83.91,198.12,Orthodox,2.13,40.0,2.99,52.0,2.1,27.0,30.0,1.1,44.0
Dean Lister,13,7,0,185.42,83.91,190.5,Orthodox,1.26,35.0,1.89,61.0,1.58,15.0,50.0,1.1,49.0
Kurt Holobaugh,21,7,0,180.34,70.31,177.8,Orthodox,4.89,44.0,4.44,48.0,0.87,36.0,50.0,1.1,39.0
Chris Wade,12,3,0,177.8,70.31,177.8,Orthodox,1.7,53.0,1.75,51.0,2.6,51.0,55.0,1.1,38.0
Dylan Potter,10,6,0,187.96,102.06,195.58,Switch,3.1,48.0,5.78,46.0,0.0,0.0,33.0,1.1,30.0
Tatsuya Kawajiri,36,11,2,170.18,65.77,175.26,Orthodox,2.04,44.0,2.01,50.0,3.63,48.0,63.0,1.1,47.0
Trevor Prangley,34,11,2,185.42,83.91,190.5,Orthodox,2.59,60.0,2.02,48.0,3.38,55.0,74.0,1.0,53.0
Karolina Wojcik,9,2,0,157.48,52.16,182.88,Orthodox,2.67,65.0,0.87,62.0,2.0,66.0,100.0,1.0,31.0
Pat Miletich,29,7,2,177.8,77.11,182.88,Orthodox,1.79,45.0,1.66,63.0,1.96,100.0,54.0,1.0,57.0
Steve Erceg,11,1,0,172.72,56.7,172.72,Orthodox,4.27,48.0,3.57,49.0,2.0,33.0,77.0,1.0,30.0
Evan Dunham,18,9,1,177.8,70.31,177.8,Southpaw,5.33,39.0,3.54,61.0,1.82,33.0,79.0,1.0,44.0
Josh Stansbury,4,8,0,187.96,92.99,187.96,Orthodox,3.22,54.0,3.54,54.0,0.0,0.0,87.0,1.0,41.0
Ed Herman,27,16,0,185.42,92.99,195.58,Orthodox,3.31,48.0,3.71,42.0,1.96,47.0,59.0,1.0,45.0
Ali AlQaisi,8,5,0,167.64,61.23,172.72,Orthodox,2.43,42.0,1.97,56.0,3.5,29.0,60.0,1.0,35.0
Elaina Maxwell,7,4,0,172.72,65.77,182.88,Orthodox,2.07,60.0,2.4,53.0,0.0,0.0,50.0,1.0,47.0
Mando Gutierrez,7,2,0,167.64,61.23,177.8,Southpaw,0.8,75.0,1.33,50.0,1.0,100.0,40.0,1.0,28.0
Claudia Leite,8,3,0,160.02,61.23,162.56,Orthodox,1.27,47.0,1.73,57.0,1.0,25.0,0.0,1.0,29.0
Ray Borg,13,5,0,162.56,61.23,160.02,Orthodox,1.52,52.0,1.93,48.0,3.89,50.0,46.0,1.0,32.0
Chad Hanekom,9,3,0,193.04,83.91,187.96,Orthodox,0.73,47.0,1.47,33.0,0.0,0.0,71.0,1.0,35.0
Zach Skinner,10,11,0,167.64,65.77,182.88,Orthodox,0.53,50.0,2.4,32.0,5.0,27.0,100.0,1.0,36.0
Jay Silva,10,11,1,187.96,83.91,182.88,Southpaw,1.13,34.0,3.07,40.0,0.0,0.0,38.0,1.0,42.0
Tim Elliott,20,13,1,170.18,56.7,167.64,Southpaw,3.41,44.0,2.67,56.0,3.73,47.0,59.0,1.0,39.0
Jason Guida,19,28,0,177.8,97.07,182.88,Unknown,1.87,40.0,3.33,52.0,1.0,14.0,50.0,1.0,44.0
Carlos Condit,32,14,0,187.96,77.11,190.5,Orthodox,3.66,39.0,2.67,55.0,0.59,46.0,38.0,1.0,41.0
Gunnar Nelson,19,5,1,180.34,77.11,182.88,Switch,1.84,61.0,3.0,49.0,1.9,59.0,66.0,1.0,37.0
Pingyuan Liu,13,7,0,167.64,61.23,182.88,Orthodox,2.36,33.0,2.99,54.0,0.25,20.0,56.0,1.0,32.0
Mohammad Yahya,12,4,0,175.26,70.31,185.42,Switch,2.87,46.0,4.07,37.0,1.0,100.0,42.0,1.0,31.0
Yusup Saadulaev,16,4,1,167.64,61.23,182.88,Unknown,0.57,45.0,0.96,66.0,5.73,60.0,0.0,1.0,36.0
Enrique Marin,10,4,0,177.8,77.11,182.88,Unknown,1.43,33.0,3.0,50.0,2.5,38.0,60.0,1.0,39.0
Allan Zuniga,13,1,0,170.18,70.31,177.8,Orthodox,3.93,52.0,1.8,61.0,0.0,0.0,57.0,1.0,33.0
Takeshi Yamazaki,15,12,3,172.72,63.05,182.88,Southpaw,0.57,25.0,1.57,47.0,4.5,50.0,100.0,1.0,36.0
Johnny Walker,21,7,0,198.12,92.99,208.28,Orthodox,3.87,56.0,2.64,45.0,0.5,100.0,57.0,1.0,33.0
Nick Osipczak,6,3,0,187.96,77.11,193.04,Orthodox,2.83,50.0,3.77,50.0,1.2,45.0,71.0,1.0,41.0
Jonavin Webb,9,2,0,177.8,77.11,182.88,Orthodox,1.47,30.0,2.27,64.0,2.5,31.0,40.0,1.0,36.0
Brian Schwartz,1,1,0,190.5,77.11,182.88,Orthodox,1.27,44.0,0.87,45.0,0.0,0.0,50.0,1.0,39.0
Eddie Yagin,16,7,1,170.18,65.77,182.88,Orthodox,3.13,30.0,5.77,42.0,0.0,0.0,62.0,1.0,46.0
Karo Parisyan,24,11,0,177.8,77.11,182.88,Orthodox,2.49,41.0,2.19,58.0,5.27,59.0,59.0,1.0,43.0
Marco Tulio,10,1,0,182.88,83.91,187.96,Orthodox,3.2,48.0,2.2,52.0,2.0,25.0,0.0,1.0,31.0
Carlos Mota,8,2,0,162.56,56.7,175.26,Orthodox,0.8,41.0,1.13,54.0,0.0,0.0,50.0,1.0,30.0
Charles Rosa,14,8,0,175.26,65.77,175.26,Switch,3.08,36.0,3.86,47.0,1.67,35.0,38.0,1.0,39.0
Bobby Cooper,12,7,0,185.42,70.31,182.88,Unknown,2.87,25.0,3.4,59.0,0.0,0.0,40.0,1.0,39.0
Nayara Maia,7,1,1,165.1,56.7,167.64,Orthodox,0.6,36.0,3.33,43.0,1.0,33.0,0.0,1.0,35.0
Oscar Cota,11,3,0,182.88,104.33,182.88,Orthodox,0.33,41.0,2.47,41.0,0.0,0.0,60.0,1.0,41.0
Gabrielle Holloway,6,5,0,160.02,65.77,182.88,Unknown,0.7,42.0,3.07,34.0,3.0,35.0,16.0,1.0,36.0
Erik Koch,16,6,0,177.8,77.11,180.34,Southpaw,2.33,42.0,2.82,47.0,1.02,42.0,81.0,1.0,37.0
Anthony Rocco Martin,17,6,0,182.88,77.11,185.42,Orthodox,2.68,37.0,2.59,58.0,0.71,27.0,68.0,1.0,36.0
Gilbert Urbina,7,3,0,190.5,77.11,190.5,Orthodox,6.33,60.0,4.09,47.0,3.96,50.0,0.0,1.0,29.0
Sam Watford,2,2,0,177.8,70.31,182.88,Unknown,0.13,18.0,0.73,62.0,2.0,40.0,60.0,1.0,39.0
Dylan Budka,7,2,0,182.88,83.91,190.5,Switch,1.47,66.0,0.73,52.0,2.0,28.0,100.0,1.0,25.0
Kaleio Romero,6,2,0,177.8,65.77,175.26,Switch,2.6,48.0,3.27,50.0,1.0,8.0,0.0,1.0,29.0
Cameron Church,4,1,0,180.34,70.31,182.88,Orthodox,4.0,40.0,4.93,50.0,0.0,0.0,60.0,1.0,35.0
Anton Berzin,5,1,0,187.96,92.99,182.88,Orthodox,4.4,46.0,6.8,67.0,2.0,28.0,0.0,1.0,36.0
Jason Gonzalez,11,5,0,187.96,70.31,187.96,Southpaw,3.06,39.0,3.13,58.0,0.0,0.0,30.0,1.0,35.0
Manny Vazquez,11,2,0,177.8,56.7,182.88,Orthodox,1.47,41.0,2.67,48.0,1.0,33.0,0.0,1.0,32.0
Jeff Crotty,1,1,0,177.8,70.31,182.88,Unknown,0.93,35.0,3.33,54.0,5.0,38.0,0.0,1.0,39.0
Sam Greco,3,1,1,187.96,92.99,182.88,Orthodox,2.4,75.0,1.33,53.0,0.0,0.0,25.0,1.0,58.0
Ricco Rodriguez,53,25,0,193.04,120.2,182.88,Orthodox,1.85,51.0,1.15,61.0,2.3,39.0,40.0,1.0,48.0
Jay Hieron,23,7,0,182.88,77.11,190.5,Orthodox,1.66,32.0,1.89,61.0,4.05,60.0,66.0,1.0,49.0
Sung Bin Jo,9,1,0,182.88,65.77,182.88,Orthodox,1.4,33.0,2.67,51.0,1.0,33.0,83.0,1.0,33.0
Art Arciniega,15,7,0,172.72,65.77,182.88,Unknown,1.53,46.0,2.73,51.0,0.0,0.0,50.0,1.0,36.0
Isabela de Padua,5,2,0,160.02,56.7,162.56,Orthodox,1.0,35.0,2.07,50.0,2.0,66.0,0.0,1.0,34.0
Lucas Fernando,9,2,0,190.5,83.91,203.2,Unknown,1.87,51.0,4.73,38.0,3.0,30.0,0.0,1.0,42.0
Rafael Silva,28,6,0,170.18,61.23,182.88,Unknown,0.67,50.0,0.73,67.0,0.0,0.0,25.0,1.0,36.0
Hyder Amil,8,0,0,175.26,65.77,177.8,Switch,1.73,52.0,1.47,53.0,0.0,0.0,78.0,1.0,35.0
Vaughan Lee,14,13,1,167.64,56.7,167.64,Orthodox,3.47,47.0,2.07,70.0,0.81,33.0,72.0,1.0,43.0
Ryan Healy,25,14,1,185.42,70.31,182.88,Orthodox,1.67,35.0,3.0,38.0,3.0,50.0,40.0,1.0,42.0
Joao Zeferino,21,9,0,180.34,77.11,182.88,Orthodox,0.83,36.0,2.6,48.0,0.5,5.0,50.0,1.0,39.0
Virna Jandiroba,19,3,0,160.02,52.16,162.56,Orthodox,2.34,40.0,3.03,56.0,2.42,39.0,73.0,1.0,37.0
Miles McDonald,2,1,0,170.18,52.16,182.88,Unknown,5.1,45.0,4.0,43.0,0.0,0.0,100.0,1.0,34.0
Korey Kuppe,8,4,0,195.58,77.11,195.58,Switch,0.73,73.0,1.33,31.0,0.0,0.0,69.0,1.0,36.0
Patrick Murphy,5,3,0,182.88,77.11,182.88,Unknown,3.4,66.0,0.8,42.0,0.0,0.0,50.0,1.0,39.0
Nick Diaz,26,10,0,185.42,77.11,193.04,Southpaw,5.71,42.0,3.84,59.0,1.28,32.0,60.0,1.0,42.0
Akitoshi Tamura,21,18,2,175.26,61.23,177.8,Orthodox,3.73,43.0,1.94,78.0,0.0,0.0,20.0,1.0,45.0
Eric Schambari,15,6,0,180.34,83.91,182.88,Orthodox,1.43,42.0,1.07,54.0,3.0,42.0,0.0,1.0,47.0
Markus Perez,12,5,0,185.42,83.91,185.42,Orthodox,2.6,47.0,3.72,52.0,0.81,25.0,77.0,1.0,37.0
Greg Soto,9,4,0,180.34,77.11,185.42,Orthodox,3.21,63.0,2.61,52.0,1.49,27.0,44.0,1.0,39.0
Mike French,9,10,0,177.8,65.77,182.88,Unknown,0.23,23.0,2.17,42.0,0.0,0.0,22.0,1.0,36.0
Karl Amoussou,27,7,2,180.34,83.91,182.88,Orthodox,1.47,34.0,2.67,54.0,0.0,0.0,25.0,1.0,40.0
Luke Rockhold,16,6,0,190.5,83.91,195.58,Southpaw,4.1,49.0,2.68,53.0,0.7,29.0,65.0,1.0,41.0
Brett Johns,17,2,0,170.18,61.23,180.34,Orthodox,2.86,49.0,3.84,53.0,4.92,49.0,58.0,1.0,33.0
Rogerio Bontorin,16,4,0,165.1,56.7,170.18,Orthodox,2.63,52.0,3.27,50.0,2.9,60.0,51.0,1.0,33.0
Chris Mierzwiak,5,3,0,185.42,83.91,182.88,Unknown,1.6,61.0,1.73,48.0,2.0,28.0,0.0,1.0,42.0
Sergei Kharitonov,26,6,0,182.88,111.13,182.88,Orthodox,3.9,44.0,3.03,54.0,1.16,53.0,70.0,1.0,45.0
Emil Meek,9,5,1,180.34,77.11,187.96,Switch,2.52,39.0,2.53,38.0,0.25,33.0,47.0,1.0,37.0
Yoshihiro Akiyama,14,6,0,177.8,77.11,190.5,Orthodox,3.1,41.0,3.62,57.0,2.29,67.0,92.0,1.0,50.0
Saul Elizondo,6,8,0,170.18,61.23,182.88,Unknown,2.07,30.0,4.93,48.0,2.0,100.0,66.0,1.0,36.0
Islam Makhachev,25,1,0,177.8,70.31,177.8,Southpaw,2.46,60.0,1.27,61.0,3.17,60.0,90.0,1.0,34.0
Luis Henrique,10,5,0,187.96,110.22,187.96,Orthodox,1.81,43.0,2.22,47.0,3.09,36.0,50.0,1.0,32.0
Ben Nguyen,16,8,0,165.1,56.7,165.1,Switch,3.51,40.0,3.01,59.0,0.25,33.0,63.0,1.0,37.0
Marilia Santos,10,3,0,162.56,56.7,182.88,Orthodox,4.4,54.0,4.07,53.0,1.0,100.0,66.0,1.0,33.0
James Hammortree,6,3,0,190.5,83.91,182.88,Orthodox,1.93,30.0,4.13,44.0,2.0,50.0,100.0,1.0,42.0
Michael Chiesa,18,7,0,185.42,77.11,190.5,Southpaw,1.87,40.0,1.7,54.0,3.33,50.0,60.0,1.0,38.0
Cole Province,6,2,0,175.26,65.77,172.72,Orthodox,1.47,44.0,2.72,43.0,2.4,50.0,83.0,1.0,44.0
Ivan Menjivar,25,12,0,167.64,65.77,162.56,Orthodox,2.78,37.0,2.76,65.0,0.56,28.0,38.0,1.0,43.0
Joe Duarte,10,4,0,177.8,70.31,182.88,Unknown,2.27,38.0,4.0,53.0,3.0,50.0,69.0,1.0,39.0
Chris de la Rocha,5,3,0,190.5,113.4,203.2,Orthodox,4.08,45.0,6.37,43.0,2.02,30.0,33.0,1.0,46.0
Justin Edwards,9,5,0,177.8,70.31,177.8,Orthodox,2.68,42.0,3.32,51.0,2.14,26.0,27.0,1.0,42.0
DeAnna Bennett,8,3,1,162.56,56.7,172.72,Orthodox,3.13,58.0,3.27,58.0,0.0,0.0,0.0,1.0,41.0
Mu Bae Choi,12,6,0,187.96,104.33,182.88,Orthodox,1.55,49.0,3.65,44.0,3.12,75.0,60.0,1.0,55.0
Connor Matthews,7,1,0,172.72,65.77,180.34,Switch,5.13,44.0,5.57,55.0,3.5,58.0,50.0,1.0,33.0
Chalid Arrab,7,3,0,180.34,92.99,182.88,Orthodox,1.56,34.0,1.63,56.0,3.05,75.0,37.0,1.0,50.0
Lemont Davis,2,6,0,172.72,77.11,182.88,Orthodox,0.87,54.0,1.27,55.0,1.0,50.0,0.0,1.0,39.0
Gilbert Yvel,39,16,1,187.96,102.06,195.58,Orthodox,1.05,47.0,1.78,50.0,0.0,0.0,25.0,1.0,49.0
Vitor Petrino,10,0,0,187.96,92.99,195.58,Orthodox,3.07,48.0,2.65,43.0,4.15,70.0,68.0,1.0,28.0
Richie Vaculik,10,4,0,167.64,56.7,175.26,Orthodox,3.69,46.0,4.09,57.0,3.0,45.0,31.0,1.0,42.0
Demian Maia,28,11,0,185.42,77.11,182.88,Southpaw,1.8,43.0,2.07,63.0,2.49,24.0,61.0,1.0,48.0
Phil Caracappa,6,1,0,172.72,61.23,177.8,Orthodox,2.93,50.0,4.07,29.0,1.0,8.0,100.0,1.0,33.0
Denis Stojnic,13,3,0,182.88,111.13,182.88,Orthodox,1.51,23.0,6.06,36.0,0.0,0.0,80.0,1.0,45.0
Mike Rio,10,5,0,177.8,70.31,177.8,Orthodox,1.68,39.0,2.99,53.0,2.58,27.0,0.0,1.0,44.0
Cameron Olson,7,3,0,185.42,92.99,190.5,Orthodox,3.13,47.0,2.2,57.0,3.0,42.0,100.0,1.0,36.0
Dwight Joseph,5,0,0,167.64,61.23,182.88,Switch,2.6,52.0,2.87,55.0,1.0,20.0,20.0,1.0,36.0
Alex Chambers,5,5,0,160.02,52.16,160.02,Southpaw,2.97,54.0,5.1,50.0,2.31,41.0,53.0,1.0,47.0
Magnus Cedenblad,14,5,0,195.58,83.91,200.66,Orthodox,2.38,51.0,3.02,40.0,2.87,64.0,66.0,1.0,43.0
Danny Sabatello,9,1,0,177.8,61.23,180.34,Orthodox,2.07,57.0,0.2,25.0,3.0,75.0,100.0,1.0,32.0
Jon Tuck,10,5,0,180.34,70.31,185.42,Orthodox,3.0,40.0,3.74,60.0,0.42,33.0,50.0,1.0,41.0
Stephan Bonnar,15,9,0,193.04,92.99,200.66,Orthodox,2.76,38.0,3.01,52.0,1.32,40.0,60.0,1.0,48.0
Ilima Macfarlane,6,0,0,162.56,56.7,182.88,Unknown,4.13,43.0,2.93,65.0,0.0,0.0,50.0,1.0,34.0
Eric Spicely,12,6,0,185.42,83.91,185.42,Orthodox,3.71,45.0,5.72,55.0,1.31,20.0,75.0,1.0,39.0
Chase Gormley,14,6,0,190.5,120.2,182.88,Orthodox,3.6,42.0,6.03,44.0,3.12,42.0,0.0,1.0,48.0
Paige VanZant,8,5,0,162.56,52.16,165.1,Orthodox,3.35,52.0,2.62,42.0,1.27,33.0,34.0,1.0,31.0
Bruno Assis,8,4,0,187.96,83.91,182.88,Orthodox,1.27,43.0,3.2,36.0,2.0,50.0,66.0,1.0,33.0
Alexandre Pantoja,26,5,0,165.1,56.7,170.18,Orthodox,4.41,48.0,3.81,51.0,1.75,44.0,66.0,1.0,35.0
Krzysztof Soszynski,26,12,1,185.42,92.99,195.58,Open Stance,3.37,39.0,3.13,58.0,0.52,25.0,71.0,1.0,48.0
Leonardo Guimaraes,11,5,0,182.88,83.91,182.88,Orthodox,2.35,56.0,2.99,44.0,0.0,0.0,52.0,1.0,43.0
Terrance McKinney,15,6,0,177.8,70.31,185.42,Switch,4.46,52.0,2.51,44.0,3.52,36.0,85.0,1.0,31.0
Jordan Parsons,11,2,0,175.26,65.77,182.88,Unknown,3.29,40.0,2.37,60.0,1.54,21.0,50.0,1.0,36.0
Rodney Wallace,26,15,1,175.26,92.99,182.88,Switch,1.13,46.0,3.44,45.0,6.0,54.0,28.0,1.0,44.0
Brad Imes,13,7,0,200.66,120.2,182.88,Orthodox,2.73,31.0,4.24,49.0,1.72,71.0,0.0,1.0,48.0
David Heath,18,7,0,180.34,92.99,182.88,Orthodox,1.48,30.0,5.16,49.0,0.33,50.0,57.0,1.0,49.0
Alexandr Romanov,17,2,0,187.96,118.84,190.5,Southpaw,4.06,52.0,2.2,50.0,4.32,54.0,20.0,0.9,35.0
Allan Nascimento,20,6,0,172.72,56.7,175.26,Orthodox,3.21,61.0,2.28,50.0,1.55,26.0,16.0,0.9,34.0
Eliot Marshall,10,4,0,187.96,92.99,195.58,Orthodox,1.93,27.0,2.39,67.0,0.47,33.0,79.0,0.9,45.0
Warlley Alves,15,7,0,180.34,83.91,182.88,Orthodox,3.25,48.0,4.21,50.0,1.35,50.0,80.0,0.9,34.0
Chris Horodecki,21,7,1,175.26,70.31,175.26,Orthodox,4.59,41.0,3.16,65.0,1.52,55.0,37.0,0.9,38.0
AJ Fletcher,10,3,0,177.8,77.11,170.18,Switch,3.36,49.0,4.61,46.0,1.54,35.0,33.0,0.9,28.0
Tyson Pedro,10,4,0,190.5,92.99,200.66,Orthodox,3.11,61.0,2.53,54.0,0.94,36.0,52.0,0.9,34.0
Lerone Murphy,13,0,1,175.26,65.77,185.42,Orthodox,3.65,50.0,2.4,56.0,1.29,46.0,46.0,0.9,34.0
Tagir Ulanbekov,14,2,0,170.18,56.7,177.8,Southpaw,3.35,44.0,3.29,54.0,3.81,42.0,61.0,0.9,34.0
Aisling Daly,16,6,0,157.48,52.16,162.56,Orthodox,2.92,52.0,1.4,55.0,2.15,41.0,33.0,0.9,38.0
JeongYeong Lee,10,1,0,177.8,65.77,185.42,Orthodox,2.39,47.0,1.84,55.0,0.0,0.0,73.0,0.9,30.0
Seth Dikun,9,8,0,177.8,61.23,175.26,Orthodox,1.45,26.0,2.18,55.0,0.0,0.0,45.0,0.9,45.0
Ben Askren,19,2,0,180.34,77.11,185.42,Orthodox,3.64,49.0,5.66,36.0,4.33,55.0,0.0,0.9,41.0
Beneil Dariush,22,6,1,177.8,70.31,182.88,Southpaw,3.78,48.0,2.65,57.0,1.9,34.0,80.0,0.9,36.0
Luiz Firmino,19,8,0,167.64,69.85,182.88,Orthodox,1.23,50.0,1.22,51.0,3.86,45.0,20.0,0.9,43.0
Gillian Robertson,12,8,0,165.1,52.16,160.02,Orthodox,2.6,45.0,3.21,55.0,2.46,41.0,43.0,0.9,30.0
Pete Williams,12,6,0,190.5,106.59,182.88,Orthodox,0.61,62.0,2.77,40.0,1.84,40.0,16.0,0.9,50.0
Rameau Thierry Sokoudjou,18,18,0,177.8,92.99,198.12,Orthodox,2.26,45.0,2.61,56.0,1.93,47.0,78.0,0.9,41.0
